"District/LEA","District #","School","School #","Private","Charter","T-I Prev.","T-I Curr.","Grades","Address","City","Zip","Map","Link","Stats","Phone","Fax","Chartered By","Opened","Closed","Principal/Director","Principal Name","Principal Email"
"Davis District","07","Adelaide School","104","Public","","Title I","Title I","Pre - 6","731 W 3600 S","BOUNTIFUL","84010","geo:40.849951,-111.899569","http://www.davis.k12.ut.us/104/site/default.asp","https://datagateway.schools.utah.gov/Schools/07104","801-402-1250","801-402-1251","","1952","","Principal","Patricia Arbon","parbon@dsdmail.net"
"Davis District","07","Antelope School","106","Public","","Title I","Title I","Pre - 6","1810 S MAIN","CLEARFIELD","84015","geo:41.087234,-112.026978","http://www.davis.k12.ut.us/schools/antelope/","https://datagateway.schools.utah.gov/Schools/07106","801-402-2100","801-402-2101","","1987","","Principal","Jennifer Pool","jpool@dsdmail.net"
"Davis District","07","Bluff Ridge School","153","Public","","","","Pre - 6","2680 S Bluff Ridge Dr","SYRACUSE","84075","geo:41.075671,-112.040903","http://www.davis.k12.ut.us/schools/bluffridge/","https://datagateway.schools.utah.gov/Schools/07153","801-402-2850","801-402-2851","","1999","","Principal","Megan Fairbourn","mfairbourn@dsdmail.net"
"Davis District","07","Boulton School","108","Public","","","","Pre - 6","2611 S ORCHARD DR","BOUNTIFUL","84010","geo:40.86086,-111.884733","http://www.davis.k12.ut.us/108/site/default.asp","https://datagateway.schools.utah.gov/Schools/07108","801-402-1300","801-402-1301","","1959","","Principal","Sarah Johnson","sajohnson@dsdmail.net"
"Davis District","07","Bountiful School","112","Public","","","","Pre - 6","1620 S 50 W","BOUNTIFUL","84010","geo:40.873608,-111.882705","http://www.davis.k12.ut.us/schools/bountiful/","https://datagateway.schools.utah.gov/Schools/07112","801-402-1350","801-402-1351","","1950","","Principal","Casey Pickett","capickett@dsdmail.net"
"Davis District","07","Buffalo Point School","113","Public","","","","Pre - 6","1924 SOUTH DORAL DRIVE","SYRACUSE","84075","geo:41.086664,-112.095078","http://www.davis.k12.ut.us/113/site/default.asp","https://datagateway.schools.utah.gov/Schools/07113","801-402-8400","801-402-8401","","2008","","Principal","Ryan Vannatter","rvannatter@dsdmail.net"
"Davis District","07","Canyon Creek School","169","Public","","","","Pre - 6","755 S 1100 W","FARMINGTON","84025","geo:40.9684995,-111.9122963","http://www.davisk12.ut.us/169","https://datagateway.schools.utah.gov/Schools/07169","801-402-0300","801-402-0301","","2016","","Principal","Janie Stubbs","jstubbs@dsdmail.net"
"Davis District","07","Centerville School","116","Public","","","","Pre - 6","350 N 100 E","CENTERVILLE","84014","geo:40.920867,-111.876422","http://www.davis.k12.ut.us/schools/centerville/","https://datagateway.schools.utah.gov/Schools/07116","801-402-1400","801-402-1401","","1947","","Principal","Leslie Bertram","lbertram@dsdmail.net"
"Davis District","07","Clinton School","120","Public","","","","Pre - 6","1101 W 1800 N","CLINTON","84015","geo:41.1392,-112.04745","http://www.davis.k12.ut.us/120/site/default.asp","https://datagateway.schools.utah.gov/Schools/07120","801-402-2150","801-402-2151","","1922","","Principal","Brenda Gleed","bgleed@dsdmail.net"
"Davis District","07","Columbia School","131","Public","","","","Pre - 6","378 S 50 W","KAYSVILLE","84037","geo:41.027427,-111.93871","http://www.davis.k12.ut.us/schools/columbia/","https://datagateway.schools.utah.gov/Schools/07131","801-402-3350","801-402-3351","","1982","","Principal","Christopher Mudrow","cmudrow@dsdmail.net"
"Davis District","07","Cook School","122","Public","","","","Pre - 6","1175 W 1350 S","SYRACUSE","84075","geo:41.093628,-112.048739","http://www.davis.k12.ut.us/schools/cook/","https://datagateway.schools.utah.gov/Schools/07122","801-402-2200","801-402-2201","","1979","","Principal","Elizabeth Jensen","eljensen@dsdmail.net"
"Davis District","07","Creekside School","151","Public","","","","Pre - 6","275 W MUTTON HOLLOW RD","KAYSVILLE","84037","geo:41.050084,-111.942631","http://www.davis.k12.ut.us/schools/creekside/","https://datagateway.schools.utah.gov/Schools/07151","801-402-3650","801-402-3651","","1999","","Principal","Linda Horsley","lhorsley@dsdmail.net"
"Davis District","07","Crestview School","124","Public","","Title I","Title I","Pre - 6","185 W GOLDEN AVE","LAYTON","84041","geo:41.069986,-111.970163","http://www.davis.k12.ut.us/124/site/default.asp","https://datagateway.schools.utah.gov/Schools/07124","801-402-3200","801-402-3201","","1955","","Principal","Suzanne Whiting","sclayton@dsdmail.net"
"Davis District","07","Davis Connect K-6","235","Public","","","","K - 8","45 E STATE ST","FARMINGTON","84025","geo:40.980781,-111.887297","","https://datagateway.schools.utah.gov/Schools/07235","801-402-5261","","","2003","","Director","Amber McInelly","amcinelly@dsdmail.net"
"Davis District","07","Doxey School","128","Public","","Title I","Title I","Pre - 6","944 N 250 W","SUNSET","84015","geo:41.127662,-112.029788","http://doxey.davis.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/07128","801-402-2250","801-402-2251","","1958","","Principal","Daniel Hansen","dahansen@dsdmail.net"
"Davis District","07","Eagle Bay School","148","Public","","","","Pre - 6","1933 W Clark Ln","FARMINGTON","84025","geo:40.981619,-111.92904","http://www.davis.k12.ut.us/eaglebay/","https://datagateway.schools.utah.gov/Schools/07148","801-402-3800","801-402-3801","","1990","","Principal","Catherine Pomeroy","cpomeroy@dsdmail.net"
"Davis District","07","East Layton School","129","Public","","","","Pre - 6","2470 E CHERRY LANE","EAST LAYTON","84041","geo:41.080224,-111.918747","http://www.davis.k12.ut.us/129/site/default.asp","https://datagateway.schools.utah.gov/Schools/07129","801-402-3250","801-402-3251","","1980","","Principal","Brooke Murdock","bmurdock@dsdmail.net"
"Davis District","07","Ellison Park School","136","Public","","","","Pre - 6","800 N COLDCREEK WAY","LAYTON","84041","geo:41.06708,-111.998255","http://www.davis.k12.ut.us/136/site/default.asp","https://datagateway.schools.utah.gov/Schools/07136","801-402-7300","801-402-7301","","2007","","Principal","Brittany Brimhall","bbrimhall@dsdmail.net"
"Davis District","07","Endeavour School","161","Public","","","","Pre - 6","1870 S 25 W","KAYSVILLE","84037","geo:41.0032309,-111.938957","http://www.davis.k12.ut.us/161/site/default.asp","https://datagateway.schools.utah.gov/Schools/07161","801-402-0400","801-402-0401","","2010","","Principal","James Campbell","jamcampbell@dsdmail.net"
"Davis District","07","Farmington School","132","Public","","","","Pre - 6","50 W 200 S","FARMINGTON","84025","geo:40.977522,-111.889283","http://www.davis.k12.ut.us/schools/farmington/","https://datagateway.schools.utah.gov/Schools/07132","801-402-2950","801-402-2951","","1973","","Principal","Sandra Carmony","scarmony@dsdmail.net"
"Davis District","07","Foxboro School","166","Public","","","","Pre - 6","487 N FOXBORO DRIVE","NORTH SALT LAKE","84054","geo:40.852768,-111.940166","http://www.davis.k12.ut.us/26402011892137840/site/default.asp","https://datagateway.schools.utah.gov/Schools/07166","801-402-5050","801-402-5051","","2009","","Principal","Shelly Ryan","struelson@dsdmail.net"
"Davis District","07","H C Burton School","114","Public","","","","Pre - 6","827 E 200 S","KAYSVILLE","84037","geo:41.032473,-111.919302","http://burton.davis.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/07114","801-402-3150","801-402-3151","","1959","","Principal","Jennifer Malan","jmalan@dsdmail.net"
"Davis District","07","Heritage School","157","Public","","","","Pre - 6","1354 W WEAVER LANE","LAYTON","84041","geo:41.045397,-111.99158","http://www.davis.k12.ut.us/schools/heritage/","https://datagateway.schools.utah.gov/Schools/07157","801-402-1200","801-402-1201","","2002","","Principal","Heather Gross","hgross@dsdmail.net"
"Davis District","07","Hill Field School","135","Public","","","","Pre - 6","389 S 1000 E","CLEARFIELD","84015","geo:41.10812,-112.005195","http://www.davis.k12.ut.us/schools/hillfield/","https://datagateway.schools.utah.gov/Schools/07135","801-402-2350","801-402-2351","","1963","","Principal","Sarah Elizabeth Burk","sburk@dsdmail.net"
"Davis District","07","Holbrook School","134","Public","","","","Pre - 6","1018 E 250 N","BOUNTIFUL","84010","geo:40.891843,-111.860294","http://www.davis.k12.ut.us/schools/holbrook/","https://datagateway.schools.utah.gov/Schools/07134","801-402-1450","801-402-1451","","1959","","Principal","Regina Oechsle","roechsle@dsdmail.net"
"Davis District","07","Holt School","137","Public","","Title I","Title I","Pre - 6","448 N 1000 W","CLEARFIELD","84015","geo:41.120457,-112.044156","http://www.davis.k12.ut.us/schools/holt/","https://datagateway.schools.utah.gov/Schools/07137","801-402-2400","801-402-2401","","1980","","Principal","Terry Naylor","tenaylor@dsdmail.net"
"Davis District","07","Island View Elementary","165","Public","","","","K - 6","385 S 4500 West","WEST POINT","84015","geo:41.1084,-112.11208","islandview.davis.k12.us","https://datagateway.schools.utah.gov/Schools/07165","801-402-5000","","","2024","","Principal","Scott Richardson","srichardson@dsdmail.net"
"Davis District","07","Kay's Creek School","170","Public","","","","Pre - 6","2260 W Island Dr.","KAYSVILLE","84037","geo:41.0338547,-111.9886677","http://www.davis.k12.ut.us/170","https://datagateway.schools.utah.gov/Schools/07170","801-402-0050","801-402-0051","","2016","","Principal","Janice Bukey","jbukey@dsdmail.net"
"Davis District","07","Kaysville School","140","Public","","","","Pre - 6","50 N 100 E","KAYSVILLE","84037","geo:41.035647,-111.935675","http://www.davis.k12.ut.us/schools/kaysville/","https://datagateway.schools.utah.gov/Schools/07140","801-402-3400","801-402-3401","","1967","","Principal","M. Catherine Kohl","ckohl@dsdmail.net"
"Davis District","07","King School","130","Public","","Title I","Title I","Pre - 6","601 E 1000 N","LAYTON","84041","geo:41.075236,-111.953502","http://www.davis.k12.ut.us/schools/king/","https://datagateway.schools.utah.gov/Schools/07130","801-402-3300","801-402-3301","","1977","","Principal","Alisha Johnson","akjohnson@dsdmail.net"
"Davis District","07","Knowlton School","139","Public","","","","Pre - 6","801 SHEPARD LANE","FARMINGTON","84025","geo:41.000118,-111.905067","http://www.davis.k12.ut.us/schools/knowlton/","https://datagateway.schools.utah.gov/Schools/07139","801-402-3000","801-402-3001","","1980","","Principal","Jeri Thomas","jhthomas@dsdmail.net"
"Davis District","07","Lakeside School","155","Public","","","","Pre - 6","2941 W 800 N","WEST POINT","84015","geo:41.124526,-112.082305","http://www.davis.k12.ut.us/155/site/default.asp","https://datagateway.schools.utah.gov/Schools/07155","801-402-2900","801-402-2901","","1999","","Principal","Hilaree Lowry","hstephens@dsdmail.net"
"Davis District","07","Layton School","144","Public","","Title I","Title I","Pre - 6","369 W GENTILE","LAYTON","84041","geo:41.059608,-111.972998","http://www.davis.k12.ut.us/schools/layton/","https://datagateway.schools.utah.gov/Schools/07144","801-402-3500","801-402-3501","","1983","","Principal","Melissa Pendergast","mpendergast@dsdmail.net"
"Davis District","07","Lincoln School","143","Public","","Title I","Title I","Pre - 6","591 W Antelope Dr","LAYTON","84041","geo:41.088465,-111.976808","http://www.davis.k12.ut.us/143/site/default.asp","https://datagateway.schools.utah.gov/Schools/07143","801-402-2450","801-402-2451","","1965","","Principal","David Pendergast","dpendergast@dsdmail.net"
"Davis District","07","Meadowbrook School","145","Public","","Title I","Title I","Pre - 6","700 N 325 W","BOUNTIFUL","84010","geo:40.896858,-111.888429","http://meadowbrook.davis.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/07145","801-402-1600","801-402-1601","","1964","","Principal","Christine Whitaker","cwhitaker@dsdmail.net"
"Davis District","07","Morgan School","141","Public","","","","Pre - 6","1065 THORNFIELD RD","KAYSVILLE","84037","geo:41.051653,-111.9196","http://www.davis.k12.ut.us/schools/morgan/","https://datagateway.schools.utah.gov/Schools/07141","801-402-3450","801-402-3451","","1979","","Principal","Meggan Nichols","mnichols@dsdmail.net"
"Davis District","07","Mountain View School","154","Public","","","","Pre - 6","2025 E 3100 N","LAYTON","84040","geo:41.104827,-111.928024","http://www.davis.k12.ut.us/schools/mountainview/","https://datagateway.schools.utah.gov/Schools/07154","801-402-3700","801-402-3701","","1995","","Principal","James Nash","bnash@dsdmail.net"
"Davis District","07","Muir School","142","Public","","","","Pre - 6","2275 S DAVIS BLVD","BOUNTIFUL","84010","geo:40.86472,-111.870573","http://www.davis.k12.ut.us/schools/muir/","https://datagateway.schools.utah.gov/Schools/07142","801-402-1550","081-402-1551","","1968","","Principal","Michael Volmar","mvolmar@dsdmail.net"
"Davis District","07","Oak Hills School","146","Public","","","","Pre - 6","1235 E 600 S","BOUNTIFUL","84010","geo:40.883124,-111.85514","http://www.davis.k12.ut.us/146/site/default.asp?","https://datagateway.schools.utah.gov/Schools/07146","801-402-1650","801-402-1651","","1962","","Principal","Cynthia Hoskinson","cbleicher@dsdmail.net"
"Davis District","07","Odyssey School","167","Public","","","","Pre - 6","2050 S 1955 W","WOODS CROSS","84087","geo:40.8690391,-111.9398237","http://www.davis.k12.ut.us/Domain/8175","https://datagateway.schools.utah.gov/Schools/07167","801-402-0200","801-402-0201","","2014","","Principal","Kristy Carson","kcarson@dsdmail.net"
"Davis District","07","Orchard School","147","Public","","","","Pre - 6","205 E CENTER STREET","NORTH SALT LAKE","84054","geo:40.842685,-111.906418","http://www.davis.k12.ut.us/schools/orchard/","https://datagateway.schools.utah.gov/Schools/07147","801-402-1700","801-402-1701","","1963","","Principal","Heidi Short","hshort@dsdmail.net"
"Davis District","07","Parkside School","121","Public","","","","Pre - 6","2262 N 1500 W","CLINTON","84015","geo:41.146487,-112.054591","http://www.davis.k12.ut.us/schools/parkside/","https://datagateway.schools.utah.gov/Schools/07121","801-402-1150","801-402-1151","","2006","","Principal","Natalie Vincent","nvincent@dsdmail.net"
"Davis District","07","Reading School","150","Public","","","","Pre - 6","360 W 2025 N","CENTERVILLE","84014","geo:40.947959,-111.884256","http://www.davis.k12.ut.us/schools/reading/index.html","https://datagateway.schools.utah.gov/Schools/07150","801-402-1750","801-402-1751","","1984","","Principal","Roger King","rking@dsdmail.net"
"Davis District","07","Sand Springs School","160","Public","","","","Pre - 6","242 N 3200 W","LAYTON","84041","geo:41.063511,-112.025078","http://www.davis.k12.ut.us/160/site/default.asp","https://datagateway.schools.utah.gov/Schools/07160","801-402-3850","801-402-3851","","2004","","Principal","Kimberly Johnston","kjohnston@dsdmail.net"
"Davis District","07","Snow Horse School","162","Public","","","","Pre - 6","1095 W SMITH LANE","KAYSVILLE","84037","geo:41.022608,-111.959901","http://www.davis.k12.ut.us/162/site/default.asp","https://datagateway.schools.utah.gov/Schools/07162","801-402-7350","801-402-7351","","2007","","Principal","Jennelyn Talbot","jetalbot@dsdmail.net"
"Davis District","07","South Clearfield School","156","Public","","Title I","Title I","Pre - 6","990 E 700 S","CLEARFIELD","84015","geo:41.102865,-112.007949","http://www.davis.k12.ut.us/schools/sclearfield/","https://datagateway.schools.utah.gov/Schools/07156","801-402-2500","801-402-2501","","1950","","Principal","Brooke Paras","bparas@dsdmail.net"
"Davis District","07","South Weber School","158","Public","","","","Pre - 6","1285 E LESTER ST","SOUTH WEBER","84405","geo:41.131615,-111.947463","http://www.davis.k12.ut.us/schools/sweber/","https://datagateway.schools.utah.gov/Schools/07158","801-402-3750","801-402-3751","","1976","","Principal","Christopher Laypath","claypath@dsdmail.net"
"Davis District","07","Stewart School","159","Public","","","","Pre - 6","1155 N MAIN ST","CENTERVILLE","84014","geo:40.931251,-111.879735","http://www.davis.k12.ut.us/schools/stewart/","https://datagateway.schools.utah.gov/Schools/07159","801-402-1850","801-402-1851","","1978","","Principal","Michelle Yoho","mdaly@dsdmail.net"
"Davis District","07","Sunburst School","171","Public","","","","Pre - 6","2504 W Sunburst Drive","LAYTON","84041","geo:41.06016,-112.01109","sunburst.davis.k12.ut.us","https://datagateway.schools.utah.gov/Schools/07171","801-402-8750","801-402-0751","","2020","","Principal","Rachel Alberts","ralberts@dsdmail.net"
"Davis District","07","Sunset School","164","Public","","Title I","Title I","Pre - 6","2014 N 250 W","SUNSET","84015","geo:41.142614,-112.030082","http://sunset.davis.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/07164","801-402-2550","801-402-2551","","1954","","Principal","Heidi Meiners","hmeiners@dsdmail.net"
"Davis District","07","Syracuse School","168","Public","","","","Pre - 6","1503 S 2000 W","SYRACUSE","84075","geo:41.092298,-112.063821","http://www.davis.k12.ut.us/168/site/default.asp","https://datagateway.schools.utah.gov/Schools/07168","801-402-2600","801-402-2601","","1915","","Principal","Adrienne Kennett","akennett@dsdmail.net"
"Davis District","07","Taylor School","138","Public","","","","Pre - 6","293 E PAGES LN","CENTERVILLE","84014","geo:40.907003,-111.875024","http://taylor.davis.k12.ut.us/","https://datagateway.schools.utah.gov/Schools/07138","801-402-1500","801-402-1501","","1954","","Principal","Darryl Denhalter","ddenhalter@dsdmail.net"
"Davis District","07","Tolman School","172","Public","","","","Pre - 6","300 E 1200 N","BOUNTIFUL","84010","geo:40.901038,-111.87528","http://www.davis.k12.ut.us/schools/tolman/","https://datagateway.schools.utah.gov/Schools/07172","801-402-1900","801-402-1901","","1954","","Principal","Cameron Forbush","cforbush@dsdmail.net"
"Davis District","07","Vae View School","193","Public","","Title I","Title I","Pre - 6","1750 W 1600 N","LAYTON","84041","geo:41.083457,-111.998499","http://www.davis.k12.ut.us/schools/vaeview/","https://datagateway.schools.utah.gov/Schools/07193","801-402-2800","801-402-2801","","1962","","Principal","Sophia Fleming","sfleming@dsdmail.net"
"Davis District","07","Valley View School","194","Public","","","","Pre - 6","1395 S 600 E","BOUNTIFUL","84010","geo:40.874401,-111.868346","http://www.davis.k12.ut.us/schools/valleyview/","https://datagateway.schools.utah.gov/Schools/07194","801-402-2050","801-402-2051","","1961","","Principal","Kristen McDonough","kmcdonough@dsdmail.net"
"Davis District","07","Wasatch School","180","Public","","Title I","Title I","Pre - 6","210 E Center St","CLEARFIELD","84015","geo:40.87169,-111.86206","http://www.davis.k12.ut.us/schools/wasatch/","https://datagateway.schools.utah.gov/Schools/07180","801-402-2650","801-402-2651","","1954","","Principal","Julie Larsen","jlarsen@dsdmail.net"
"Davis District","07","West Bountiful School","184","Public","","","","Pre - 6","500 N 800 West","WEST BOUNTIFUL","84087","geo:40.894864,-111.900597","http://www.davis.k12.ut.us/schools/wbountiful/","https://datagateway.schools.utah.gov/Schools/07184","801-402-2000","801-402-2001","","1908","","Principal","Joanel Whinham","jwhinham@dsdmail.net"
"Davis District","07","West Clinton School","186","Public","","","","Pre - 6","2826 W 1800 N","CLINTON","84015","geo:41.140484,-112.080326","http://www.davis.k12.ut.us/schools/wclinton/","https://datagateway.schools.utah.gov/Schools/07186","801-402-2700","801-402-2701","","1987","","Principal","Alissa Clark","aliclark@dsdmail.net"
"Davis District","07","West Point School","188","Public","","","","Pre - 6","3788 W 300 N","WEST POINT","84015","geo:41.118626,-112.098076","http://www.davis.k12.ut.us/schools/wpoint/","https://datagateway.schools.utah.gov/Schools/07188","801-402-2750","801-402-2751","","1915","","Principal","Gregory Mudrow","gmudrow@dsdmail.net"
"Davis District","07","Whitesides School","192","Public","","Title I","Title I","Pre - 6","233 N COLONIAL AVE","LAYTON","84041","geo:41.064066,-111.952867","http://www.davis.k12.ut.us/schools/whitesides/","https://datagateway.schools.utah.gov/Schools/07192","801-402-3600","801-402-3601","","1953","","Principal","Heather Schulz","hschulz@dsdmail.net"
"Davis District","07","Windridge School","149","Public","","","","Pre - 6","1300 S 700 E","KAYSVILLE","84037","geo:41.013479,-111.923345","http://www.davis.k12.ut.us/schools/windridge/","https://datagateway.schools.utah.gov/Schools/07149","801-402-3550","801-402-3551","","1995","","Principal","Clayton Reid","clreid@dsdmail.net"
"Davis District","07","Woods Cross School","152","Public","","","","Pre - 6","745 W 1100 S","WOODS CROSS","84087","geo:40.877955,-111.899202","http://www.davis.k12.ut.us/152/site/default.asp","https://datagateway.schools.utah.gov/Schools/07152","801-402-1800","801-402-1801","","1982","","Principal","Julie Barlow","jbarlow@dsdmail.net"
"Deamude Adventist Christian School","NP","Deamude Adventist Christian School","910","Private","","","","K - 8","1765 W 2100 S","OGDEN","84401","geo:41.228173,-112.022615","","","801-731-3140","801-431-4314","","2008","","Principal","","deamudeschool@yahoo.com"
"Dual Immersion Academy","4E","Dual Immersion Academy","100","Public","Charter","Title I","Title I","Pre - 8","1155 S GLENDALE DRIVE","SALT LAKE CITY","84104","geo:40.744277,-111.932652","http://diacharter.org/","https://datagateway.schools.utah.gov/Schools/4E100","801-972-1425","801-972-9482","State Charter School Board (SCSB)","2007","","Director","Ana Zarate","anna.zarate@diacharter.org"
"Duchesne District","08","Altamont School","104","Public","","Title I","Title I","Pre - 6","190 W MAIN P O BOX 40","ALTAMONT","84001","geo:40.358869,-110.287345","http://www.dcsd.org/AltamontElementary.cfm","https://datagateway.schools.utah.gov/Schools/08104","435-738-1375","435-738-1396","","1974","","Principal","Lori Oman","loman@dcsd.org"
"Duchesne District","08","Centennial School","106","Public","","Title I","Title I","K - 5","940 S 500 E","ROOSEVELT","84066","geo:40.2860245,-109.9838506","dcsd.org","https://datagateway.schools.utah.gov/Schools/08106","435-725-4450","435-725-4499","","2015","","Principal","Stephanie Smith","shyder@dcsd.org"
"Duchesne District","08","Duchesne School","108","Public","","Title I","Title I","Pre - 6","DRAWER 370 198 W 300 N","DUCHESNE","84021","geo:40.166233,-110.404531","http://www.dcsd.org/DuchesneElementary.cfm","https://datagateway.schools.utah.gov/Schools/08108","435-738-1290","435-738-1313","","1965","","Principal","Aubrey Harris","aharris900163@dcsd.org"
"Duchesne District","08","East School","110","Public","","Title I","Title I","Pre - 5","700 E 400 N","ROOSEVELT","84066","geo:40.30533,-109.981271","http://www.dcsd.org/EastElementary.cfm?subpage=436226","https://datagateway.schools.utah.gov/Schools/08110","435-725-4665","435-725-4709","","1974","","Principal","David Taylor","dtaylor@dcsd.org"
"Duchesne District","08","Kings Peak School","304","Public","","","","K - 5","437 N 300 W (4252)","ROOSEVELT","84066","geo:40.305386,-109.998364","","https://datagateway.schools.utah.gov/Schools/08304","435-725-4630","435-725-4661","","1986","","Principal","Jesse Fieldsted","jfieldsted@dcsd.org"
"Duchesne District","08","Myton School","112","Public","","Title I","Title I","K - 5","P O BOX 186 400 E MAIN","MYTON","84052","geo:40.194357,-110.056167","http://www.dcsd.org/MytonElementary.cfm?subpage=436249","https://datagateway.schools.utah.gov/Schools/08112","435-725-4735","435-725-4746","","1981","","Principal","Shauna Ross","sross@dcsd.org"
"Duchesne District","08","Neola School","116","Public","","Title I","Title I","K - 5","P O BOX 220 8709 N STATE RD 121","NEOLA","84053","geo:40.428104,-110.033218","http://www.dcsd.org/NeolaElementary.cfm?subpage=436232","https://datagateway.schools.utah.gov/Schools/08116","435-725-4715","435-725-4730","","1979","","Principal","Nichol Alldredge","nalldredge@dcsd.org"
"Duchesne District","08","Tabiona School","124","Public","","","","Pre - 6","P O BOX 470 10 N MAIN","TABIONA","84072","geo:40.353386,-110.707986","http://www.dcsd.org/TabionaSchool.cfm","https://datagateway.schools.utah.gov/Schools/08124","435-738-1320","435-738-1332","","1982","","Principal","Darin Jenkins","djenkins@dcsd.org"
"Edith Bowen Laboratory School","5E","Edith Bowen Laboratory School","108","Public","Charter","Title I","Title I","K - 6","6700 OLD MAIN HILL","LOGAN","84322","geo:41.745107,-111.808807","http://www.edithbowen.usu.edu","https://datagateway.schools.utah.gov/Schools/5E108","435-797-3085","435-797-3668","District or Local Education Agency (LEA)","2007","","Director","Nathan Justis","nate.justis@usu.edu"
"Elizabeth Academy","NY","Elizabeth Academy","901","Private","","","","K - 12","2870 S CONNOR STREET","SALT LAKE CITY","84109","geo:0,0","http://www.elizabethacademy.com","","801-281-4848","801-485-1093","","2009","","Principal","","admin@elizabethacademy.com"
"Emery District","09","Book Cliff School","124","Public","","Title I","Title I","Pre - 6","255 S Solomon St P O BOX 448","GREEN RIVER","84525","geo:38.9925,-110.15924","http://emerycsd.org/BookCliff.cfm?subpage=431647","https://datagateway.schools.utah.gov/Schools/09124","435-564-8102","435-564-8327","","1976","","Principal","Gaylene Erwin","gaylenee@emeryschools.org"
"Emery District","09","Castle Dale School","104","Public","","Title I","Title I","K - 5","P.O. BOX 539 195 EAST 600 NORTH","CASTLE DALE","84513","geo:39.221198,-111.016332","http://emerycsd.org/CastleDale.cfm?subpage=431631","https://datagateway.schools.utah.gov/Schools/09104","435-381-5221","435-381-5220","","1976","","Principal","Melinda Durrant","melindad@emeryschools.org"
"Emery District","09","Cleveland School","108","Public","","Title I","Title I","Pre - 5","P.O. BOX 220 30 SOUTH 100 WEST","CLEVELAND","84518","geo:39.348233,-110.854461","http://emerycsd.org/Cleveland.cfm?subpage=431645","https://datagateway.schools.utah.gov/Schools/09108","435-653-2235","435-653-2370","","1982","","Principal","Janet Ewell","janete@emeryschools.org"
"Emery District","09","Cottonwood School","132","Public","","Title I","Title I","Pre - 5","P O BOX 679 55 EAST 200 SOUTH","ORANGEVILLE","84537","geo:39.225279,-111.052018","http://emerycsd.org/Cottonwood.cfm?subpage=431649","https://datagateway.schools.utah.gov/Schools/09132","435-748-2481","435-748-2130","","1962","","Principal","Tiffany Cowley","tiffany@emeryschools.org"
"Emery District","09","Ferron School","120","Public","","Title I","Title I","Pre - 5","P O BOX 910 115 WEST MILL RD","FERRON","84523","geo:39.091325,-111.1351","http://emerycsd.org/Ferron.cfm?subpage=431633","https://datagateway.schools.utah.gov/Schools/09120","435-384-2383","435-384-2550","","1964","","Principal","Heather Behling","heatherb@emeryschools.org"
"Emery District","09","Huntington School","128","Public","","Title I","Title I","Pre - 5","P O BOX 190 90 East 100 North","HUNTINGTON","84528","geo:39.32792,-110.96299","http://emerycsd.org/Huntington.cfm?subpage=431635","https://datagateway.schools.utah.gov/Schools/09128","435-687-9954","435-687-2796","","1962","","Principal","Jody Carter","carter@emeryschools.org"
"Endeavor Hall","3H","Endeavor Hall","100","Public","Charter","Title I","Title I","K - 8","2614 S DECKER LAKE LANE","WEST VALLEY CITY","84119","geo:40.7132549,-111.944114","http://www.endeavorhall.org/","https://datagateway.schools.utah.gov/Schools/3H100","801-972-1153","801-972-1163","State Charter School Board (SCSB)","2011","","Principal","Simon-Peter Raubenheimer","director@endeavorhall.org"
"Esperanza School","2I","Esperanza School","100","Public","Charter","Title I","Title I","K - 7","4956 W 3500 S","WEST VALLEY CITY","84120","geo:40.6968,-112.00702","www.esperanzaelementary.org","https://datagateway.schools.utah.gov/Schools/2I100","801-305-1450","385-722-8252","State Charter School Board (SCSB)","2014","","Director","Ivonne Medina-Tellez","ivonne.medina@esperanzaelementary.org"
"Evergreen Montessori Academy","NF","Evergreen Montessori Academy","901","Private","","","","K - 6","5875 S ADAMS AVE PARKWAY","OGDEN","84405","geo:41.153245,-111.969768","","","801-479-7799","","","2008","","Principal","",""
"Fabian House","FH","Fabian House","901","Private","","","","Pre - 3","3118 N. 1200 W.","LEHI","84043","geo:40.426,-111.868","fabianhouse.com","","801-917-0940","","","2021","","Administrator","","stephanie@fabianhouse.com"
"Franklin Discovery Academy","6K","Franklin Discovery Academy","100","Public","Charter","Title I","Title I","K - 7","320 E. Gammon Road","VINEYARD","84059","geo:40.2969457,-111.7499018","http://franklindiscovery.org/","https://datagateway.schools.utah.gov/Schools/6K100","801-785-6500","","State Charter School Board (SCSB)","2016","","Director","Kristopher Hatch","kris.hatch@franklindiscovery.org"
"Freedom Preparatory Academy","82","Freedom Preparatory Academy - Vineyard","105","Public","Charter","Title I","Title I","Pre - 6","426 North 100 West","VINEYARD","84058","geo:40.3044281,-111.7565239","www.freedomprep.net","https://datagateway.schools.utah.gov/Schools/82105","801-437-3100","","State Charter School Board (SCSB)","2016","","Principal","Carrie Banfield","cbanfield@freedomprep.net"
